date,Gross Domestic Product (CVM), Private final consumption expenditure,General government final consumption expenditure,Gross fixed capital formation,Change in inventories,Exports of goods and services,Exports of goods,Exports of services,Imports of goods and services,Imports of goods,Imports of services,Agriculture,"Agriculture, Forestry and Fishing",Non-Agriculture,Industrial,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam and Air-Conditioning Supply","Water supply; sewerage, waste management and remediation activities",Services,Construction,"Wholesale and Retail Trade, Repair of Vehicles and Personal and Household Goods","Transport, and storage",Accommodation and food service activities,Information and communication,Financial and insurance activities,Real Estate Activities,"Professional, scientific and technical activities",Administrative and support service activities,Public Administration and Defence; Compulsory Social Security,Education,Health and Social Work,"Arts, entertainment and recreation",Other Service Activities,Private Household with Employed Persons
2020-12-31,2686527,1421122,402524,645911,198751,1530872,1423964,124673,1571008,1341840,237186,204189,204189,2490281,855032,52889,730389,58269,15209,1641611,60172,421508,147427,119722,171636,197616,116760,53270,36567,132458,84283,69484,29109,40247,4308
2021-03-31,2716899,1414758,377354.8,666535,122212.7574,1659959,1540531,137987,1738608,1476035,270795,167155,167155,2572400,888635,54708,746008,76633,13148,1690734,78529,483401,148086,88299,148718,215426,110484,50885,35311,134295,84316,62697,27462,37480,4316
2021-06-30,2524805,1416504,399001.9,631058,-5098.543033,1745046,1630227,134907,1755977,1495342,269997,158820,158820,2385568,850166,51302,706818,79675,14976,1542072,84980,367267,122615,94540,155853,220909,107710,50677,32202,133202,83306,57888,27022,31094,4219
2021-09-30,2439183,1389170,455725.9,621999,38185.88585,1713429,1594388,138425,1777114,1514809,272120,130543,130543,2337232,778938,46620,651271,68791,14582,1564401,79218,367133,134064,79611,161252,231291,107134,47625,34106,138654,85748,65250,25335,33797,4205
2021-12-31,2738684,1430729,444596.4,643321,133847.5364,1817353,1673368,163590,1820903,1534121,292663,207258,207258,2537888,878978,47975,754733,62338,15914,1665804,59812,433721,154087,111682,180563,206858,118596,50811,34092,132045,84745,73861,27389,38765,4233
2022-03-31,2769582,1449841,407310.2,671030,46200,1864234,1689104,193958,1806499,1516389,294432,172446,172446,2619317,896844,46818,760238,79232,13775,1729917,74879,499289,153622,113063,157462,210103,112050,50949,35555,129866,85040,66478,26797,37838,4354
2022-06-30,2586066,1511064,409493.8,625024,7871,1879055,1698694,199150,1883857,1581264,307085,164936,164936,2440234,838874,41887,704146,81731,15524,1608148,81392,381325,129500,131708,165833,218601,110523,51235,32913,133433,84924,62073,26943,31767,3956
2022-09-30,2546714,1516167,448908.2,656416,83563,1842422,1623819,234972,1934880,1615902,321589,128170,128170,2451412,819479,41714,693479,72781,15141,1639772,77324,382058,149181,117544,168964,225076,110539,48428,35808,139204,88484,67790,26084,35094,4307
2022-12-31,2773819,1522218,413209.8,668852,100799,1776081,1497152,291355,1723383,1378300,332501,214729,214729,2564066,843241,45484,720253,63361,16828,1729635,61771,449657,171110,141042,187544,200492,121004,51597,36805,129965,84491,76429,28249,38963,4270
2023-03-31,2841897,1535907,382983.6,692162,47520,1899153,1595096,323765,1803338,1462492,337008,183204,183204,2678875,871126,44239,740102,76034,14299,1819148,77759,515922,172794,151938,163044,212038,114175,51946,38004,131702,86098,70707,27291,37976,4302
2023-06-30,2631362,1621024,392032.8,627563,-39115,1895124,1608099,306188,1834573,1505929,326724,167479,167479,2483465,820517,41550,679457,86482,16562,1672246,81666,394437,139066,151842,171888,223943,113339,53120,34643,133641,86149,63704,27386,32454,4259
2023-09-30,2582957,1636403,426622,666504,-96515,1862502,1574565,306950,1753493,1447823,304759,129636,129636,2486994,794365,42352,662833,76225,15889,1704621,77707,394856,159701,135208,174236,234445,112689,50161,37238,139450,89298,69844,26573,35593,4249
2023-12-31,2821452,1634218,400819,666305,78448,1863220,1548266,334799,1790474,1446750,339333,213515,213515,2614825,830380,45873,702854,67333,17523,1797526,56335,472704,183025,154892,192803,209995,122342,53399,37424,133106,85907,79774,29059,39441,4265
2024-03-31,2888394,1642450,374882,663033,52065,1946732,1562769,403722,1897648,1524726,367719,178194,178194,2733872,862570,46369,718906,84275,15100,1884570,64307,537939,189476,169793,173821,218022,115066,53276,38678,133608,87856,74131,28298,38995,4539
2024-06-30,2691490,1685069,393263,588952,-92619,1985405,1639039,366737,1843190,1490647,348393,165655,165655,2548045,835296,47047,680798,91060,16999,1723481,77204,406431,150302,163612,180646,228232,114614,54569,35472,134022,87171,66676,28752,33706,4462
